ordinal;breakdown;lane;rank;heat;points;scoredisplay;time;workoutrank;competitorid;Number of Records
1;100 pts;26;1;3;100;15:07,7;15:07,7;1;153604;1
2;100 pts;20;1;2;100;05:37,0;05:37,0;1;153604;1
3;68 pts;25;17;1;68;25:50,1;25:50,1;17;153604;1
4;40 pts;10;21;2;40;01:50,1;01:50,1;21;153604;1
5;96 pts;8;2;2;96;675 rep;675;2;153604;1
6;30 pts;2;15;1;30;6 pt;6;15;153604;1
7;100 pts;6;1;1;100;15:36,6;15:36,6;1;153604;1
8;100 pts;9;1;1;100;380.0 lb;380;1;153604;1
9;60 pts;2;5;1;60;29:04,7;29:04,7;5;153604;1
10;90 pts;4;2;2;90;03:49,5;03:49,5;2;153604;1
11;100 pts;4;1;2;100;03:06,9;03:06,9;1;153604;1
12;100 pts;5;1;1;100;08:05,8;08:05,8;1;153604;1
1;70 pts;46;16;3;70;17:02,1;17:02,1;16;2725;1
2;88 pts;28;7;2;88;06:13,0;06:13,0;7;2725;1
3;54 pts;28;24;1;54;26:27,8;26:27,8;24;2725;1
4;97 pts;7;2;2;97;01:28,4;01:28,4;2;2725;1
5;100 pts;9;1;2;100;677 rep;677;1;2725;1
6;90 pts;1;3;1;90;18 pt;18;3;2725;1
7;90 pts;5;2;1;90;16:35,9;16:35,9;2;2725;1
8;60 pts;10;5;1;60;355.0 lb;355;5;2725;1
9;80 pts;1;3;1;80;27:45,7;27:45,7;3;2725;1
10;70 pts;3;4;2;70;04:06,8;04:06,8;4;2725;1
11;60 pts;3;5;2;60;03:32,0;03:32,0;5;2725;1
12;90 pts;6;2;1;90;08:10,0;08:10,0;2;2725;1
1;94 pts;25;4;3;94;16:08,5;16:08,5;4;81616;1
2;45 pts;22;30;2;45;07:00,2;07:00,2;30;81616;1
3;70 pts;31;16;1;70;25:49,4;25:49,4;16;81616;1
4;46 pts;14;19;2;46;01:49,7;01:49,7;19;81616;1
5;68 pts;13;9;2;68;598 rep;598;9;81616;1
6;95 pts;8;2;1;95;19 pt;19;2;81616;1
7;80 pts;7;3;1;80;16:42,7;16:42,7;3;81616;1
8;70 pts;8;4;1;70;365.0 lb;365;4;81616;1
9;70 pts;3;4;1;70;28:15,0;28:15,0;4;81616;1
10;80 pts;2;3;2;80;03:55,7;03:55,7;3;81616;1
11;90 pts;2;2;2;90;03:15,6;03:15,6;2;81616;1
12;80 pts;4;3;1;80;08:22,8;08:22,8;3;81616;1
1;96 pts;21;3;3;96;16:06,0;16:06,0;3;34796;1
2;90 pts;19;6;2;90;06:10,1;06:10,1;6;34796;1
3;20 pts;26;41;1;20;27:57,7;27:57,7;41;34796;1
4;61 pts;6;14;2;61;01:45,7;01:45,7;14;34796;1
5;88 pts;5;4;2;88;645 rep;645;4;34796;1
6;70 pts;4;7;1;70;14 pt;14;7;34796;1
7;50 pts;4;6;1;50;19:05,5;19:05,5;6;34796;1
8;90 pts;7;2;1;90;375.0 lb;375;2;34796;1
9;30 pts;4;8;1;30;32:40,8;32:40,8;8;34796;1
10;50 pts;5;6;2;50;04:35,3;04:35,3;6;34796;1
11;80 pts;5;3;2;80;03:25,9;03:25,9;3;34796;1
12;70 pts;7;4;1;70;08:35,6;08:35,6;4;34796;1
1;90 pts;31;6;2;90;16:21,2;16:21,2;6;16080;1
2;94 pts;23;4;2;94;06:08,1;06:08,1;4;16080;1
3;92 pts;24;5;1;92;24:47,9;24:47,9;5;16080;1
4;30 pts;11;26;2;30;01:52,7;01:52,7;26;16080;1
5;22 pts;7;23T;2;22;515 rep;515;23T;16080;1
6;60 pts;6;9;1;60;12 pt;12;9;16080;1
7;60 pts;2;5;1;60;17:17,5;17:17,5;5;16080;1
8;40 pts;5;7;1;40;345.0 lb;345;7;16080;1
9;90 pts;5;2;1;90;27:22,9;27:22,9;2;16080;1
10;100 pts;1;1;2;100;03:47,2;03:47,2;1;16080;1
11;30 pts;1;8;2;30;04:45,0;04:45,0;8;16080;1
12;20 pts;3;9;1;20;10:58,7;10:58,7;9;16080;1
1;76 pts;27;13;3;76;16:47,9;16:47,9;13;199938;1
2;82 pts;14;10;2;82;06:23,6;06:23,6;10;199938;1
3;90 pts;29;6;1;90;24:55,3;24:55,3;6;199938;1
4;24 pts;9;29;2;24;01:59,0;01:59,0;29;199938;1
5;92 pts;6;3;2;92;660 rep;660;3;199938;1
6;20 pts;3;17;1;20;4 pt;4;17;199938;1
7;70 pts;1;4;1;70;17:07,0;17:07,0;4;199938;1
8;30 pts;6;8;1;30;335.0 lb;335;8;199938;1
9;40 pts;6;7;1;40;31:16,5;31:16,5;7;199938;1
10;60 pts;4;5;1;60;04:27,1;04:27,1;5;199938;1
11;70 pts;4;4;1;70;03:29,7;03:29,7;4;199938;1
12;40 pts;8;7;1;40;09:02,0;09:02,0;7;199938;1
1;35 pts;5;40;3;35;19:21,2;19:21,2;40;660204;1
2;31 pts;18;44;1;31;07:27,5;07:27,5;44;660204;1
3;66 pts;2;18;1;66;25:53,2;25:53,2;18;660204;1
4;100 pts;2;1;1;100;01:27,3;01:27,3;1;660204;1
5;84 pts;8;5;1;84;622 rep;622;5;660204;1
6;85 pts;9;4;1;85;17 pt;17;4;660204;1
7;40 pts;8;7;1;40;19:14,5;19:14,5;7;660204;1
8;20 pts;4;9;1;20;325.0 lb;325;9;660204;1
9;100 pts;8;1;1;100;25:12,3;25:12,3;1;660204;1
10;40 pts;3;7;1;40;04:39,1;04:39,1;7;660204;1
11;20 pts;3;9;1;20;04:59,0;04:59,0;9;660204;1
12;50 pts;2;6;1;50;08:57,5;08:57,5;6;660204;1
1;52 pts;45;25;3;52;17:47,7;17:47,7;25;698182;1
2;70 pts;8;16;2;70;06:36,4;06:36,4;16;698182;1
3;72 pts;35;15;1;72;25:42,4;25:42,4;15;698182;1
4;82 pts;4;7;2;82;01:40,0;01:40,0;7;698182;1
5;56 pts;10;12;2;56;577 rep;577;12;698182;1
6;40 pts;5;13T;1;40;8 pt;8;13T;698182;1
7;30 pts;10;8;1;30;CAP+6;CAP+6;8;698182;1
8;80 pts;2;3;1;80;365.0 lb;365;3;698182;1
9;10 pts;7;10;1;10;35:52,2;35:52,2;10;698182;1
10;30 pts;5;8;1;30;04:41,3;04:41,3;8;698182;1
11;50 pts;5;6;1;50;03:37,8;03:37,8;6;698182;1
12;60 pts;9;5;1;60;08:52,8;08:52,8;5;698182;1
1;62 pts;11;20;3;62;17:11,4;17:11,4;20;310970;1
2;64 pts;30;19;2;64;06:42,9;06:42,9;19;310970;1
3;10 pts;17;46;1;10;28:52,9;28:52,9;46;310970;1
4;79 pts;17;8;1;79;01:40,4;01:40,4;8;310970;1
5;72 pts;5;8;1;72;600 rep;600;8;310970;1
6;100 pts;18;1;1;100;20 pt;20;1;310970;1
7;10 pts;9;10;1;10;CAP+134;CAP+134;10;310970;1
8;50 pts;1;6;1;50;355.0 lb;355;6;310970;1
9;50 pts;9;6;1;50;29:35,4;29:35,4;6;310970;1
10;20 pts;2;9;1;20;04:41,7;04:41,7;9;310970;1
11;40 pts;2;7;1;40;03:42,2;03:42,2;7;310970;1
12;30 pts;1;8;1;30;10:06,6;10:06,6;8;310970;1
1;74 pts;26;14;2;74;16:49,5;16:49,5;14;35627;1
2;29 pts;27;46;2;29;07:38,6;07:38,6;46;35627;1
3;52 pts;14;25;1;52;26:37,1;26:37,1;25;35627;1
4;94 pts;7;3;1;94;01:30,1;01:30,1;3;35627;1
5;76 pts;2;7;2;76;615 rep;615;7;35627;1
6;80 pts;7;5;1;80;16 pt;16;5;35627;1
7;20 pts;3;9;1;20;CAP+113;CAP+113;9;35627;1
8;10 pts;3;10;1;10;0.0 lb;0;10;35627;1
9;20 pts;10;9;1;20;33:35,5;33:35,5;9;35627;1
10;10 pts;1;10;1;10;05:02,6;05:02,6;10;35627;1
11;10 pts;1;10;1;10;CAP+40;CAP+40;10;35627;1
12;10 pts;10;10;1;10;CAP+90;CAP+90;10;35627;1
1;88 pts;23;7;3;88;16:24,3;16:24,3;7;153625;1
2;42 pts;17;33;2;42;07:02,0;07:02,0;33;153625;1
3;48 pts;18;27;1;48;26:47,6;26:47,6;27;153625;1
4;85 pts;2;6;2;85;01:39,2;01:39,2;6;153625;1
5;40 pts;12;17;2;40;550 rep;550;17;153625;1
6;65 pts;11;8;1;65;13 pt;13;8;153625;1
7;;0;CUT;0;0;;;CUT;153625;1
8;;0;CUT;0;0;;;CUT;153625;1
9;;0;CUT;0;0;;;CUT;153625;1
10;;0;CUT;0;0;;;CUT;153625;1
11;;0;CUT;0;0;;;CUT;153625;1
12;;0;CUT;0;0;;;CUT;153625;1
1;78 pts;32;12;3;78;16:34,0;16:34,0;12;1690;1
2;80 pts;26;11;2;80;06:24,1;06:24,1;11;1690;1
3;86 pts;21;8;1;86;25:09,0;25:09,0;8;1690;1
4;6 pts;12;38;2;6;02:35,5;02:35,5;38;1690;1
5;43 pts;14;16;2;43;555 rep;555;16;1690;1
6;75 pts;15;6;1;75;15 pt;15;6;1690;1
7;;0;CUT;0;0;;;CUT;1690;1
8;;0;CUT;0;0;;;CUT;1690;1
9;;0;CUT;0;0;;;CUT;1690;1
10;;0;CUT;0;0;;;CUT;1690;1
11;;0;CUT;0;0;;;CUT;1690;1
12;;0;CUT;0;0;;;CUT;1690;1
1;72 pts;17;15;3;72;16:57,5;16:57,5;15;74320;1
2;52 pts;13;25;2;52;06:48,7;06:48,7;25;74320;1
3;56 pts;16;23;1;56;26:25,8;26:25,8;23;74320;1
4;91 pts;18;4;2;91;01:31,2;01:31,2;4;74320;1
5;28 pts;11;21T;2;28;525 rep;525;21T;74320;1
6;50 pts;12;11;1;50;10 pt;10;11;74320;1
7;;0;CUT;0;0;;;CUT;74320;1
8;;0;CUT;0;0;;;CUT;74320;1
9;;0;CUT;0;0;;;CUT;74320;1
10;;0;CUT;0;0;;;CUT;74320;1
11;;0;CUT;0;0;;;CUT;74320;1
12;;0;CUT;0;0;;;CUT;74320;1
1;66 pts;36;18;3;66;17:06,0;17:06,0;18;123764;1
2;86 pts;29;8;2;86;06:22,6;06:22,6;8;123764;1
3;14 pts;30;44;1;14;28:29,9;28:29,9;44;123764;1
4;49 pts;9;18;1;49;01:48,6;01:48,6;18;123764;1
5;80 pts;11;6;1;80;616 rep;616;6;123764;1
6;45 pts;13;12;1;45;9 pt;9;12;123764;1
7;;0;CUT;0;0;;;CUT;123764;1
8;;0;CUT;0;0;;;CUT;123764;1
9;;0;CUT;0;0;;;CUT;123764;1
10;;0;CUT;0;0;;;CUT;123764;1
11;;0;CUT;0;0;;;CUT;123764;1
12;;0;CUT;0;0;;;CUT;123764;1
1;98 pts;9;2;3;98;15:42,8;15:42,8;2;469626;1
2;27 pts;21;48;2;27;07:41,1;07:41,1;48;469626;1
3;94 pts;34;4;1;94;24:45,0;24:45,0;4;469626;1
4;18 pts;13;32;2;18;02:03,8;02:03,8;32;469626;1
5;52 pts;15;13;2;52;575 rep;575;13;469626;1
6;40 pts;16;13T;1;40;8 pt;8;13T;469626;1
7;;0;CUT;0;0;;;CUT;469626;1
8;;0;CUT;0;0;;;CUT;469626;1
9;;0;CUT;0;0;;;CUT;469626;1
10;;0;CUT;0;0;;;CUT;469626;1
11;;0;CUT;0;0;;;CUT;469626;1
12;;0;CUT;0;0;;;CUT;469626;1
1;84 pts;12;9;3;84;16:32,4;16:32,4;9;158264;1
2;78 pts;16;12;2;78;06:25,6;06:25,6;12;158264;1
3;78 pts;23;12;1;78;25:27,6;25:27,6;12;158264;1
4;12 pts;8;35;2;12;02:11,5;02:11,5;35;158264;1
5;60 pts;3;11;2;60;584 rep;584;11;158264;1
6;10 pts;10;19;1;10;2 pt;2;19;158264;1
7;;0;CUT;0;0;;;CUT;158264;1
8;;0;CUT;0;0;;;CUT;158264;1
9;;0;CUT;0;0;;;CUT;158264;1
10;;0;CUT;0;0;;;CUT;158264;1
11;;0;CUT;0;0;;;CUT;158264;1
12;;0;CUT;0;0;;;CUT;158264;1
1;36 pts;16;39;3;36;19:13,5;19:13,5;39;24309;1
2;66 pts;22;18;1;66;06:39,8;06:39,8;18;24309;1
3;100 pts;37;1;1;100;24:00,6;24:00,6;1;24309;1
4;58 pts;5;15;2;58;01:45,8;01:45,8;15;24309;1
5;34 pts;4;19;2;34;537 rep;537;19;24309;1
6;25 pts;14;16;1;25;5 pt;5;16;24309;1
7;;0;CUT;0;0;;;CUT;24309;1
8;;0;CUT;0;0;;;CUT;24309;1
9;;0;CUT;0;0;;;CUT;24309;1
10;;0;CUT;0;0;;;CUT;24309;1
11;;0;CUT;0;0;;;CUT;24309;1
12;;0;CUT;0;0;;;CUT;24309;1
1;47 pts;47;28;3;47;18:16,2;18:16,2;28;286691;1
2;35 pts;34;40;2;35;07:10,6;07:10,6;40;286691;1
3;98 pts;7;2;1;98;24:20,0;24:20,0;2;286691;1
4;43 pts;3;20;2;43;01:49,7;01:49,7;20;286691;1
5;37 pts;12;18;1;37;538 rep;538;18;286691;1
6;55 pts;19;10;1;55;11 pt;11;10;286691;1
7;;0;CUT;0;0;;;CUT;286691;1
8;;0;CUT;0;0;;;CUT;286691;1
9;;0;CUT;0;0;;;CUT;286691;1
10;;0;CUT;0;0;;;CUT;286691;1
11;;0;CUT;0;0;;;CUT;286691;1
12;;0;CUT;0;0;;;CUT;286691;1
1;41 pts;42;34;3;41;19:03,5;19:03,5;34;86089;1
2;54 pts;37;24;2;54;06:47,8;06:47,8;24;86089;1
3;74 pts;39;14;1;74;25:42,3;25:42,3;14;86089;1
4;55 pts;11;16;1;55;01:45,8;01:45,8;16;86089;1
5;64 pts;9;10;1;64;585 rep;585;10;86089;1
6;15 pts;17;18;1;15;3 pt;3;18;86089;1
7;;0;CUT;0;0;;;CUT;86089;1
8;;0;CUT;0;0;;;CUT;86089;1
9;;0;CUT;0;0;;;CUT;86089;1
10;;0;CUT;0;0;;;CUT;86089;1
11;;0;CUT;0;0;;;CUT;86089;1
12;;0;CUT;0;0;;;CUT;86089;1
1;14 pts;37;61T;3;14;CAP+8;CAP+8;61T;230757;1
2;84 pts;8;9;1;84;06:23,6;06:23,6;9;230757;1
3;82 pts;13;10;1;82;25:15,8;25:15,8;10;230757;1
4;20 pts;19;31;2;20;02:03,5;02:03,5;31;230757;1
5;46 pts;2;15;1;46;560 rep;560;15;230757;1
6;5 pts;20;20;1;5;1 pt;1;20;230757;1
7;;0;CUT;0;0;;;CUT;230757;1
8;;0;CUT;0;0;;;CUT;230757;1
9;;0;CUT;0;0;;;CUT;230757;1
10;;0;CUT;0;0;;;CUT;230757;1
11;;0;CUT;0;0;;;CUT;230757;1
12;;0;CUT;0;0;;;CUT;230757;1
1;48 pts;41;27;3;48;18:15,2;18:15,2;27;702092;1
2;22 pts;7;53;2;22;07:55,1;07:55,1;53;702092;1
3;88 pts;47;7;1;88;24:58,5;24:58,5;7;702092;1
4;38 pts;13;22;1;38;01:50,4;01:50,4;22;702092;1
5;49 pts;15;14;1;49;561 rep;561;14;702092;1
6;;0;CUT;0;0;;;CUT;702092;1
7;;0;CUT;0;0;;;CUT;702092;1
8;;0;CUT;0;0;;;CUT;702092;1
9;;0;CUT;0;0;;;CUT;702092;1
10;;0;CUT;0;0;;;CUT;702092;1
11;;0;CUT;0;0;;;CUT;702092;1
12;;0;CUT;0;0;;;CUT;702092;1
1;56 pts;43;23;3;56;17:43,1;17:43,1;23;111592;1
2;48 pts;9;27;2;48;06:53,7;06:53,7;27;111592;1
3;30 pts;36;36;1;30;27:39,5;27:39,5;36;111592;1
4;88 pts;18;5;1;88;01:36,0;01:36,0;5;111592;1
5;22 pts;7;23T;1;22;515 rep;515;23T;111592;1
6;;0;CUT;0;0;;;CUT;111592;1
7;;0;CUT;0;0;;;CUT;111592;1
8;;0;CUT;0;0;;;CUT;111592;1
9;;0;CUT;0;0;;;CUT;111592;1
10;;0;CUT;0;0;;;CUT;111592;1
11;;0;CUT;0;0;;;CUT;111592;1
12;;0;CUT;0;0;;;CUT;111592;1
1;64 pts;33;19;2;64;17:10,5;17:10,5;19;107101;1
2;68 pts;11;17;2;68;06:37,9;06:37,9;17;107101;1
3;76 pts;32;13;1;76;25:35,3;25:35,3;13;107101;1
4;28 pts;15;27;2;28;01:57,6;01:57,6;27;107101;1
5;7 pts;1;28;2;7;491 rep;491;28;107101;1
6;;0;CUT;0;0;;;CUT;107101;1
7;;0;CUT;0;0;;;CUT;107101;1
8;;0;CUT;0;0;;;CUT;107101;1
9;;0;CUT;0;0;;;CUT;107101;1
10;;0;CUT;0;0;;;CUT;107101;1
11;;0;CUT;0;0;;;CUT;107101;1
12;;0;CUT;0;0;;;CUT;107101;1
1;58 pts;6;22;3;58;17:35,4;17:35,4;22;134617;1
2;40 pts;31;35;2;40;07:03,4;07:03,4;35;134617;1
3;40 pts;38;31;1;40;27:01,9;27:01,9;31;134617;1
4;67 pts;4;12;1;67;01:45,3;01:45,3;12;134617;1
5;31 pts;4;20;1;31;529 rep;529;20;134617;1
6;;0;CUT;0;0;;;CUT;134617;1
7;;0;CUT;0;0;;;CUT;134617;1
8;;0;CUT;0;0;;;CUT;134617;1
9;;0;CUT;0;0;;;CUT;134617;1
10;;0;CUT;0;0;;;CUT;134617;1
11;;0;CUT;0;0;;;CUT;134617;1
12;;0;CUT;0;0;;;CUT;134617;1
1;33 pts;14;42;3;33;19:39,7;19:39,7;42;180541;1
2;58 pts;17;22;1;58;06:44,0;06:44,0;22;180541;1
3;62 pts;10;20;1;62;26:16,7;26:16,7;20;180541;1
4;52 pts;14;17;1;52;01:45,9;01:45,9;17;180541;1
5;28 pts;13;21T;1;28;525 rep;525;21T;180541;1
6;;0;CUT;0;0;;;CUT;180541;1
7;;0;CUT;0;0;;;CUT;180541;1
8;;0;CUT;0;0;;;CUT;180541;1
9;;0;CUT;0;0;;;CUT;180541;1
10;;0;CUT;0;0;;;CUT;180541;1
11;;0;CUT;0;0;;;CUT;180541;1
12;;0;CUT;0;0;;;CUT;180541;1
1;54 pts;20;24;2;54;17:45,2;17:45,2;24;461734;1
2;43 pts;32;32;2;43;07:01,8;07:01,8;32;461734;1
3;50 pts;12;26;1;50;26:43,3;26:43,3;26;461734;1
4;73 pts;6;10;1;73;01:41,6;01:41,6;10;461734;1
5;4 pts;10;29;1;4;480 rep;480;29;461734;1
6;;0;CUT;0;0;;;CUT;461734;1
7;;0;CUT;0;0;;;CUT;461734;1
8;;0;CUT;0;0;;;CUT;461734;1
9;;0;CUT;0;0;;;CUT;461734;1
10;;0;CUT;0;0;;;CUT;461734;1
11;;0;CUT;0;0;;;CUT;461734;1
12;;0;CUT;0;0;;;CUT;461734;1
1;15 pts;30;60;2;15;CAP+8;CAP+8;60;23655;1
2;46 pts;32;29;1;46;06:59,9;06:59,9;29;23655;1
3;80 pts;50;11;1;80;25:18,9;25:18,9;11;23655;1
4;76 pts;5;9;1;76;01:41,1;01:41,1;9;23655;1
5;1 pts;6;30;1;1;470 rep;470;30;23655;1
6;;0;CUT;0;0;;;CUT;23655;1
7;;0;CUT;0;0;;;CUT;23655;1
8;;0;CUT;0;0;;;CUT;23655;1
9;;0;CUT;0;0;;;CUT;23655;1
10;;0;CUT;0;0;;;CUT;23655;1
11;;0;CUT;0;0;;;CUT;23655;1
12;;0;CUT;0;0;;;CUT;23655;1
1;86 pts;14;8;1;86;16:28,3;16:28,3;8;43761;1
2;92 pts;24;5;2;92;06:09,8;06:09,8;5;43761;1
3;24 pts;27;39;1;24;27:55,4;27:55,4;39;43761;1
4;2 pts;16;40;2;2;02:41,3;02:41,3;40;43761;1
5;13 pts;3;26T;1;13;504 rep;504;26T;43761;1
6;;0;CUT;0;0;;;CUT;43761;1
7;;0;CUT;0;0;;;CUT;43761;1
8;;0;CUT;0;0;;;CUT;43761;1
9;;0;CUT;0;0;;;CUT;43761;1
10;;0;CUT;0;0;;;CUT;43761;1
11;;0;CUT;0;0;;;CUT;43761;1
12;;0;CUT;0;0;;;CUT;43761;1
1;80 pts;4;11;3;80;16:33,7;16:33,7;11;120333;1
2;2 pts;15;73T;2;2;CAP+2;CAP+2;73T;120333;1
3;84 pts;8;9;1;84;25:11,1;25:11,1;9;120333;1
4;34 pts;12;24;1;34;01:51,8;01:51,8;24;120333;1
5;16 pts;14;25;1;16;509 rep;509;25;120333;1
6;;0;CUT;0;0;;;CUT;120333;1
7;;0;CUT;0;0;;;CUT;120333;1
8;;0;CUT;0;0;;;CUT;120333;1
9;;0;CUT;0;0;;;CUT;120333;1
10;;0;CUT;0;0;;;CUT;120333;1
11;;0;CUT;0;0;;;CUT;120333;1
12;;0;CUT;0;0;;;CUT;120333;1
1;37 pts;38;38;2;37;19:11,4;19:11,4;38;682551;1
2;56 pts;19;23;1;56;06:46,6;06:46,6;23;682551;1
3;38 pts;40;32;1;38;27:15,1;27:15,1;32;682551;1
4;64 pts;19;13;1;64;01:45,5;01:45,5;13;682551;1
5;13 pts;1;26T;1;13;504 rep;504;26T;682551;1
6;;0;CUT;0;0;;;CUT;682551;1
7;;0;CUT;0;0;;;CUT;682551;1
8;;0;CUT;0;0;;;CUT;682551;1
9;;0;CUT;0;0;;;CUT;682551;1
10;;0;CUT;0;0;;;CUT;682551;1
11;;0;CUT;0;0;;;CUT;682551;1
12;;0;CUT;0;0;;;CUT;682551;1
1;42 pts;29;33;3;42;19:01,9;19:01,9;33;472642;1
2;34 pts;4;41;2;34;07:13,0;07:13,0;41;472642;1
3;96 pts;5;3;1;96;24:36,9;24:36,9;3;472642;1
4;22 pts;10;30;1;22;02:00,3;02:00,3;30;472642;1
5;;0;CUT;0;0;;;CUT;472642;1
6;;0;CUT;0;0;;;CUT;472642;1
7;;0;CUT;0;0;;;CUT;472642;1
8;;0;CUT;0;0;;;CUT;472642;1
9;;0;CUT;0;0;;;CUT;472642;1
10;;0;CUT;0;0;;;CUT;472642;1
11;;0;CUT;0;0;;;CUT;472642;1
12;;0;CUT;0;0;;;CUT;472642;1
1;60 pts;22;21;3;60;17:28,9;17:28,9;21;329279;1
2;72 pts;10;15;2;72;06:31,9;06:31,9;15;329279;1
3;46 pts;19;28;1;46;26:47,8;26:47,8;28;329279;1
4;16 pts;1;33;2;16;02:09,4;02:09,4;33;329279;1
5;;0;CUT;0;0;;;CUT;329279;1
6;;0;CUT;0;0;;;CUT;329279;1
7;;0;CUT;0;0;;;CUT;329279;1
8;;0;CUT;0;0;;;CUT;329279;1
9;;0;CUT;0;0;;;CUT;329279;1
10;;0;CUT;0;0;;;CUT;329279;1
11;;0;CUT;0;0;;;CUT;329279;1
12;;0;CUT;0;0;;;CUT;329279;1
1;92 pts;38;5;3;92;16:17,7;16:17,7;5;469656;1
2;37 pts;18;38;2;37;07:08,0;07:08,0;38;469656;1
3;60 pts;33;21;1;60;26:20,0;26:20,0;21;469656;1
4;4 pts;17;39;2;4;02:38,0;02:38,0;39;469656;1
5;;0;CUT;0;0;;;CUT;469656;1
6;;0;CUT;0;0;;;CUT;469656;1
7;;0;CUT;0;0;;;CUT;469656;1
8;;0;CUT;0;0;;;CUT;469656;1
9;;0;CUT;0;0;;;CUT;469656;1
10;;0;CUT;0;0;;;CUT;469656;1
11;;0;CUT;0;0;;;CUT;469656;1
12;;0;CUT;0;0;;;CUT;469656;1
1;44 pts;7;31;3;44;18:20,4;18:20,4;31;2766;1
2;41 pts;5;34;2;41;07:02,7;07:02,7;34;2766;1
3;36 pts;42;33;1;36;27:17,6;27:17,6;33;2766;1
4;70 pts;20;11;1;70;01:44,6;01:44,6;11;2766;1
5;;0;CUT;0;0;;;CUT;2766;1
6;;0;CUT;0;0;;;CUT;2766;1
7;;0;CUT;0;0;;;CUT;2766;1
8;;0;CUT;0;0;;;CUT;2766;1
9;;0;CUT;0;0;;;CUT;2766;1
10;;0;CUT;0;0;;;CUT;2766;1
11;;0;CUT;0;0;;;CUT;2766;1
12;;0;CUT;0;0;;;CUT;2766;1
1;82 pts;30;10;3;82;16:33,3;16:33,3;10;327636;1
2;76 pts;25;13;2;76;06:27,4;06:27,4;13;327636;1
3;18 pts;22;42;1;18;28:20,8;28:20,8;42;327636;1
4;10 pts;20;36;2;10;02:16,2;02:16,2;36;327636;1
5;;0;CUT;0;0;;;CUT;327636;1
6;;0;CUT;0;0;;;CUT;327636;1
7;;0;CUT;0;0;;;CUT;327636;1
8;;0;CUT;0;0;;;CUT;327636;1
9;;0;CUT;0;0;;;CUT;327636;1
10;;0;CUT;0;0;;;CUT;327636;1
11;;0;CUT;0;0;;;CUT;327636;1
12;;0;CUT;0;0;;;CUT;327636;1
1;20 pts;13;55;3;20;CAP+7;CAP+7;55;8690;1
2;74 pts;30;14;1;74;06:30,1;06:30,1;14;8690;1
3;44 pts;11;29;1;44;27:00,2;27:00,2;29;8690;1
4;32 pts;16;25;1;32;01:52,3;01:52,3;25;8690;1
5;;0;CUT;0;0;;;CUT;8690;1
6;;0;CUT;0;0;;;CUT;8690;1
7;;0;CUT;0;0;;;CUT;8690;1
8;;0;CUT;0;0;;;CUT;8690;1
9;;0;CUT;0;0;;;CUT;8690;1
10;;0;CUT;0;0;;;CUT;8690;1
11;;0;CUT;0;0;;;CUT;8690;1
12;;0;CUT;0;0;;;CUT;8690;1
1;45 pts;10;30;3;45;18:18,7;18:18,7;30;173837;1
2;96 pts;35;3;2;96;05:47,4;05:47,4;3;173837;1
3;16 pts;20;43;1;16;28:27,8;28:27,8;43;173837;1
4;8 pts;8;37;1;8;02:21,9;02:21,9;37;173837;1
5;;0;CUT;0;0;;;CUT;173837;1
6;;0;CUT;0;0;;;CUT;173837;1
7;;0;CUT;0;0;;;CUT;173837;1
8;;0;CUT;0;0;;;CUT;173837;1
9;;0;CUT;0;0;;;CUT;173837;1
10;;0;CUT;0;0;;;CUT;173837;1
11;;0;CUT;0;0;;;CUT;173837;1
12;;0;CUT;0;0;;;CUT;173837;1
1;26 pts;15;49;3;26;CAP+4;CAP+4;49;28040;1
2;50 pts;27;26;1;50;06:50,0;06:50,0;26;28040;1
3;58 pts;44;22;1;58;26:25,2;26:25,2;22;28040;1
4;26 pts;3;28;1;26;01:57,7;01:57,7;28;28040;1
5;;0;CUT;0;0;;;CUT;28040;1
6;;0;CUT;0;0;;;CUT;28040;1
7;;0;CUT;0;0;;;CUT;28040;1
8;;0;CUT;0;0;;;CUT;28040;1
9;;0;CUT;0;0;;;CUT;28040;1
10;;0;CUT;0;0;;;CUT;28040;1
11;;0;CUT;0;0;;;CUT;28040;1
12;;0;CUT;0;0;;;CUT;28040;1
1;68 pts;31;17;3;68;17:05,0;17:05,0;17;501728;1
2;21 pts;12;54;2;21;08:03,6;08:03,6;54;501728;1
3;34 pts;41;34;1;34;27:18,4;27:18,4;34;501728;1
4;36 pts;1;23;1;36;01:51,0;01:51,0;23;501728;1
5;;0;CUT;0;0;;;CUT;501728;1
6;;0;CUT;0;0;;;CUT;501728;1
7;;0;CUT;0;0;;;CUT;501728;1
8;;0;CUT;0;0;;;CUT;501728;1
9;;0;CUT;0;0;;;CUT;501728;1
10;;0;CUT;0;0;;;CUT;501728;1
11;;0;CUT;0;0;;;CUT;501728;1
12;;0;CUT;0;0;;;CUT;501728;1
1;46 pts;35;29;2;46;18:18,0;18:18,0;29;542883;1
2;30 pts;6;45;2;30;07:28,4;07:28,4;45;542883;1
3;64 pts;6;19;1;64;26:12,6;26:12,6;19;542883;1
4;14 pts;15;34;1;14;02:09,5;02:09,5;34;542883;1
5;;0;CUT;0;0;;;CUT;542883;1
6;;0;CUT;0;0;;;CUT;542883;1
7;;0;CUT;0;0;;;CUT;542883;1
8;;0;CUT;0;0;;;CUT;542883;1
9;;0;CUT;0;0;;;CUT;542883;1
10;;0;CUT;0;0;;;CUT;542883;1
11;;0;CUT;0;0;;;CUT;542883;1
